year,tu,td
2419,9.49269510220811,9.4576575279458
2420,9.49478372659479,9.46025933194712
2421,9.4968405167186,9.4628229413759
2422,9.49886251398881,9.46534859462462
2423,9.50085114471027,9.46783661333462
2424,9.50280859837804,9.47028745004646
2425,9.50473399357582,9.472701463817
2426,9.50662749972793,9.47507900041364
2427,9.50848919903458,9.47742038713299
2428,9.51031930727752,9.47972594345672
2429,9.51211659527445,9.48199588033611
2430,9.51388386957042,9.48423059062165
2431,9.51562257969353,9.4864305412158
2432,9.51733190105868,9.48859610851359
2433,9.51901117823736,9.49072759659984
2434,9.52066089427365,9.49282532210082
2435,9.52227896857981,9.49488943364607
2436,9.5238694831503,9.49692035551532
2437,9.52542950273393,9.4989182765524
2438,9.52696027282621,9.50088345965127
2439,9.52846382694219,9.50281629179102
2440,9.52993989318851,9.50471711377695
2441,9.53138833819246,9.50658623318399
2442,9.53280898076352,9.50842392333437
2443,9.53420423933134,9.51023060787943
2444,9.53557079508657,9.51200644819891
2445,9.53691252315866,9.51375186593209
2446,9.53822775568762,9.51546713628616
2447,9.53951665022705,9.51715252622314
2448,9.54077745561853,9.51880816127516
2449,9.54201608195304,9.52043457235627
2450,9.54322969771241,9.52203205474123
2451,9.54441874539495,9.52360091402224
2452,9.54558038537626,9.52514123537473
2453,9.54671703866036,9.52665326766899
2454,9.54782833363123,9.52813721629162
2455,9.54891746508085,9.52959349612677
2456,9.54998497528487,9.53102253098617
